Year,Month,Day,Weekday,High,Low,Close,High_ch_pc_sdbf,Low_ch_pc_sdbf,Close_ch_pc_sdbf,High_ch_tot_sdbf,Low_Ch_tot_sdbf,Close_Ch_tot_sdbf,Streak,Bestmove
2021,9,27,0,2333.65,2300.58,2304.01,0.054421185696%,-0.370776065166%,-0.401907977830%,1.27,-8.53,-9.26,-3,Behall
2021,9,24,4,2332.38,2309.11,2313.27,-0.330992376885%,-0.341257021103%,-1.069049440835%,-7.72,-7.88,-24.73,-2,Behall
2021,9,23,3,2340.1,2316.99,2338,1.593094312209%,1.402250333407%,1.661676646707%,37.28,32.49,38.85,-1,Salj
2021,9,22,2,2302.82,2284.5,2299.15,0.363467400839%,0.484132195229%,1.055607507122%,8.37,11.06,24.27,3,Behall
2021,9,21,1,2294.45,2273.44,2274.88,-0.233607182549%,0.709057639524%,0.106379237586%,-5.36,16.12,2.42,2,Behall
2021,9,20,0,2299.81,2257.32,2272.46,-2.661959031398%,-2.841865575107%,-2.248224391188%,-61.22,-64.15,-51.09,1,Kop
2021,9,17,4,2361.03,2321.47,2323.55,0.276997750982%,-0.308425265026%,-0.881409911558%,6.54,-7.16,-20.48,-2,Behall
2021,9,16,3,2354.49,2328.63,2344.03,0.493949857506%,0.429437050970%,0.822515070200%,11.63,10,19.28,-1,Salj
2021,9,15,2,2342.86,2318.63,2324.75,0.005975602469%,-0.346756489824%,-0.732121733520%,0.14,-8.04,-17.02,1,Kop
2021,9,14,1,2342.72,2326.67,2341.77,-0.662050949324%,-0.367907782367%,0.274578630694%,-15.51,-8.56,6.43,-1,Salj
2021,9,13,0,2358.23,2335.23,2335.34,-0.257396437158%,-0.525858266638%,-0.613615148115%,-6.07,-12.28,-14.33,1,Kop
2021,9,10,4,2364.3,2347.51,2349.67,-0.144228735778%,0.849410652138%,-0.158320104525%,-3.41,19.94,-3.72,-2,Behall
2021,9,9,3,2367.71,2327.57,2353.39,0.203994577039%,-0.592463384560%,0.264724503801%,4.83,-13.79,6.23,-1,Salj
2021,9,8,2,2362.88,2341.36,2347.16,-1.325077871073%,-1.214678648307%,-1.311372041105%,-31.31,-28.44,-30.78,1,Kop
2021,9,7,1,2394.19,2369.8,2377.94,-0.165400406818%,-0.327875770107%,-0.686308317283%,-3.96,-7.77,-16.32,-2,Behall
2021,9,6,0,2398.15,2377.57,2394.26,0.215999833205%,0.329748440635%,1.024533676376%,5.18,7.84,24.53,-1,Salj
